"RUID","UID","Census","Set","SubSet","PlotCode","Plot","Tra","Qua","Crit","Sample","Tag","Species","PosX","PosY","Sup","Rep","FrutPerBranch","NumbBranch","AvrgSeeds","CAR","RecrYr","DeadYr","ExcYr","RincYr","Height","CovD1","CovD2","DBH01","DBH02","DBH03","DBH04","DBH05","DBH06","DBH07","DBH08","DBH09","DBH10","DBH11","DBH12","DBH13","DBH14","DBH15","DBH16","DBH17","DBH18","DBH19","DBH20","DBH21","DBH22","DBH23","DBH24","DBH25","DBH26","DBH27","DBH28","DBH29","DBH30","minDBH","maxDBH","Basal.cm2.plot","Basal.m2.ha","Cob.m2.plot","Cob.m2.ha","Dens.ha","Rec.ha","Mu.ha","Stems","Observaciones.anuales","Historial.de.objeto","X","id","Age.init","Fst.cens","plot","Age.census","TotFrut","TotSeeds"
"21361503","213615",2003,"SecCan",NA,"SC03","SEP",4,"1","C","400","12","Mimosa acantholoba","4.95","2",1,"",NA,NA,NA,NA,NA,NA,NA,NA,6,5.3,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,"384845100065","0.096211275",16650441064,"4162610266006","25","0",0,1,"","","","pSEPi12q1",40,2003,3,40,0,0
"21363903","213639",2003,"SecCan",NA,"SC03","SEP",4,"1","C","400","3","Mimosa acantholoba","4.06","2.5",1,"",NA,NA,NA,NA,NA,NA,NA,NA,6.6,2.65,2.6,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,8.5,"567450173055","0.141862543",54113933458,"1352848336452","25","0",0,1,"bien. al lado hay un tronco de mimosa gde caido y mto.","","","pSEPi3q1",40,2003,3,40,0,0
"21364603","213646",2003,"SecCan",NA,"SC03","SEP",4,"1","C","200","4","Mimosa acantholoba","4.05","3.1",1,"",NA,NA,NA,NA,NA,2004,NA,NA,4.3,0.9,0.8,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,"49087385212","0.024543693",0.565486678,"282743338823","50","0",0,1,"solo c/ rebrotes vivos. alt. de rama mas alta (tallo principal mto.)","","","pSEPi4q1",40,2003,3,40,0,0
"21366003","213660",2003,"SecCan",NA,"SC03","SEP",4,"1","C","200","13","Mimosa acantholoba","3.45","3.4",1,"",NA,NA,NA,NA,NA,2016,NA,NA,5.7,2.5,2.1,4,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.4,"277716790577","0.138858395",41233403578,"2061670178918","50","0",0,2,"","","","pSEPi13q1",40,2003,3,40,0,0
"21372103","213721",2003,"SecCan",NA,"SC03","SEP",4,"1","C","400","21","Mimosa acantholoba","4.95","4.4",1,"",NA,NA,NA,NA,NA,NA,NA,NA,6.5,4.9,4,9.1,4.2,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,9.1,"947975583221","0.236993896",153938040026,"3848451000648","25","0",0,3,"tronco principal partido","","","pSEPi21q1",40,2003,3,40,0,0
"21382003","213820",2003,"SecCan",NA,"SC03","SEP",4,"2","A","400","46","Mimosa acantholoba","0","8.6",1,"",NA,NA,NA,NA,NA,2015,NA,NA,3.5,4.1,5.3,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,9.6,"723822947387","0.180955737",170667020906,"4266675522657","25","0",0,1,"tronco roto a los 2 mts pero vivo. claramente 1 solo tronco sin ramificar desde base","","","pSEPi46q2",40,2003,3,40,0,0
"21384403","213844",2003,"SecCan",NA,"SC03","SEP",4,"3","B","400","47","Mimosa acantholoba","2","10.2",1,"",NA,NA,NA,NA,NA,2008,NA,NA,5.9,3.2,4,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,7.6,"453645979178","0.113411495",100530964915,"2513274122872","25","0",0,1,"crec. doblada. claramente 1 solo tronco sin ramificar desde base","","","pSEPi47q3",40,2003,3,40,0,0
"21385103","213851",2003,"SecCan",NA,"SC03","SEP",4,"3","B","200","48","Mimosa acantholoba","1.46","11.05",1,"",NA,NA,NA,NA,NA,2004,NA,NA,5,0.7,0.8,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,3.4,"90792027689","0.045396014",0.439822972,"219911485751","50","0",0,1,"casi muerta. solo con (varios) rebrotes vivos. claramente 1 solo tronco sin ramificar desde base","","","pSEPi48q3",40,2003,3,40,0,0
"21386803","213868",2003,"SecCan",NA,"SC03","SEP",4,"3","B","400","54","Mimosa acantholoba","3","11.35",1,"",NA,NA,NA,NA,NA,2015,NA,NA,6,3.5,3,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,7.3,"418538681275","0.10463467",82466807157,"2061670178918","25","0",0,1,"claramente 1 solo tronco sin ramificar desde base","","","pSEPi54q3",40,2003,3,40,0,0
"21387503","213875",2003,"SecCan",NA,"SC03","SEP",4,"3","B","200","51","Mimosa acantholoba","1.6","11.55",1,"",NA,NA,NA,NA,NA,2007,NA,NA,4.8,1.1,1.3,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,4.7,"173494454294","0.086747227",11231193737,"561559686829","50","0",0,1,"alt. de rama mtas. no vigoroso. casi muerta. c/ var. rebrotes vivos. claramente 1 solo tronco sin ramificar desde base","","","pSEPi51q3",40,2003,3,40,0,0
