"Age","ln.h1","ln.h2","h1","h2","PlotCode","sup","UID","Census","maxDBH"
7,1.07158361628019,1.06471073699243,2.92,2.9,"8","1","SS08-443944",2010,6
8,1.06471073699243,1.52605630349505,2.9,4.6,"8","1","SS08-443944",2011,6.9
9,1.52605630349505,1.56861591791385,4.6,4.8,"8","1","SS08-443944",2012,7.5
3,NA,0.542324290825362,NA,1.72,"8","1","SS08-444507",2006,1.97
4,0.542324290825362,0.845868267577609,1.72,2.33,"8","1","SS08-444507",2007,4.332
5,0.845868267577609,0.0198026272961797,2.33,1.02,"8","1","SS08-444507",2008,8.6
6,0.0198026272961797,1.14740245283754,1.02,3.15,"8","1","SS08-444507",2009,7
7,1.14740245283754,1.43508452528932,3.15,4.2,"8","1","SS08-444507",2010,7.8
8,1.43508452528932,1.41098697371026,4.2,4.1,"8","1","SS08-444507",2011,11.2
1,NA,0.231111720963387,NA,1.26,"8","1","SS08-444521",2004,1.8
2,0.231111720963387,0.62057648772511,1.26,1.86,"8","1","SS08-444521",2005,2.71
3,0.62057648772511,0.819779831493311,1.86,2.27,"8","1","SS08-444521",2006,3.529
4,0.819779831493311,1.02961941718116,2.27,2.8,"8","1","SS08-444521",2007,9.293
5,1.02961941718116,1.02961941718116,2.8,2.8,"8","1","SS08-444521",2008,9.3
6,1.02961941718116,1.19392246847243,2.8,3.3,"8","1","SS08-444521",2009,14.2
7,1.19392246847243,1.06471073699243,3.3,2.9,"8","1","SS08-444521",2010,15.9
8,1.06471073699243,1.48160454092422,2.9,4.4,"8","1","SS08-444521",2011,17.3
6,NA,0.53062825106217,NA,1.7,"10","1","SS10-416825",2004,0.66
7,0.53062825106217,0.693147180559945,1.7,2,"10","1","SS10-416825",2005,0.9
8,0.693147180559945,0.662687973075237,2,1.94,"10","1","SS10-416825",2006,1.022
9,0.662687973075237,1.14740245283754,1.94,3.15,"10","1","SS10-416825",2007,1.552
10,1.14740245283754,1.25276296849537,3.15,3.5,"10","1","SS10-416825",2008,2.3
11,1.25276296849537,1.22964055107451,3.5,3.42,"10","1","SS10-416825",2009,2.25
12,1.22964055107451,NA,3.42,NA,"10","1","SS10-416825",2010,NA
13,NA,NA,NA,NA,"10","1","SS10-416825",2011,NA
14,NA,NA,NA,NA,"10","1","SS10-416825",2012,NA
15,NA,NA,NA,NA,"10","1","SS10-416825",2013,NA
16,NA,NA,NA,NA,"10","1","SS10-416825",2014,NA
17,NA,NA,NA,NA,"10","1","SS10-416825",2015,NA
18,NA,NA,NA,NA,"10","1","SS10-416825",2016,NA
5,NA,-0.150822889734584,NA,0.86,"10","1","SS10-447393",2003,0.57
6,-0.150822889734584,0.314810739840034,0.86,1.37,"10","1","SS10-447393",2004,0.7
