"Age","ln.h1","ln.h2","h1","h2","PlotCode","sup","UID","Census","maxDBH"
33,1.69561560867515,1.70474809223843,5.45,5.5,"SC01","1","210591",2006,7.9
34,1.70474809223843,1.66770682055808,5.5,5.3,"SC01","1","210591",2007,8.2
35,1.66770682055808,1.79175946922805,5.3,6,"SC01","1","210591",2008,8.6
36,1.79175946922805,1.79175946922805,6,6,"SC01","1","210591",2009,9
37,1.79175946922805,1.84054963339749,6,6.3,"SC01","1","210591",2010,9.5
38,1.84054963339749,1.97408102602201,6.3,7.2,"SC01","1","210591",2011,9.5
39,1.97408102602201,1.8229350866965,7.2,6.19,"SC01","1","210591",2012,9.6
40,1.8229350866965,2.06686275947298,6.19,7.9,"SC01","1","210591",2013,9.8
41,2.06686275947298,1.87793716546911,7.9,6.54,"SC01","1","210591",2014,9.9
42,1.87793716546911,1.84054963339749,6.54,6.3,"SC01","1","210591",2015,10.1
43,1.84054963339749,1.63899671467564,6.3,5.15,"SC01","1","210591",2016,10.1
30,NA,1.93152141160321,NA,6.9,"SC01","1","210607",2003,6.2
31,1.93152141160321,1.81156209652423,6.9,6.12,"SC01","1","210607",2004,6.6
32,1.81156209652423,1.88706964903238,6.12,6.6,"SC01","1","210607",2005,7.1
33,1.88706964903238,1.83258146374831,6.6,6.25,"SC01","1","210607",2006,7.1
34,1.83258146374831,1.82454929205105,6.25,6.2,"SC01","1","210607",2007,8.1
35,1.82454929205105,1.82454929205105,6.2,6.2,"SC01","1","210607",2008,8.8
36,1.82454929205105,1.89461685466776,6.2,6.65,"SC01","1","210607",2009,9.2
37,1.89461685466776,2.01490302054226,6.65,7.5,"SC01","1","210607",2010,10.8
38,2.01490302054226,1.88706964903238,7.5,6.6,"SC01","1","210607",2011,10.6
39,1.88706964903238,1.96571277635149,6.6,7.14,"SC01","1","210607",2012,11
40,1.96571277635149,2.01490302054226,7.14,7.5,"SC01","1","210607",2013,11.5
41,2.01490302054226,1.99470031322475,7.5,7.35,"SC01","1","210607",2014,11.7
42,1.99470031322475,1.98787434815435,7.35,7.3,"SC01","1","210607",2015,11.8
43,1.98787434815435,1.94591014905531,7.3,7,"SC01","1","210607",2016,11.9
30,NA,1.81645208181843,NA,6.15,"SC01","1","210638",2003,6.1
31,1.81645208181843,1.86408013080768,6.15,6.45,"SC01","1","210638",2004,6.7
32,1.86408013080768,1.86408013080768,6.45,6.45,"SC01","1","210638",2005,7.6
33,1.86408013080768,1.91692261218206,6.45,6.8,"SC01","1","210638",2006,7.6
34,1.91692261218206,1.45861502269952,6.8,4.3,"SC01","1","210638",2007,8.3
35,1.45861502269952,1.58923520511658,4.3,4.9,"SC01","1","210638",2008,8.5
36,1.58923520511658,1.54115907168081,4.9,4.67,"SC01","1","210638",2009,8.9
37,1.54115907168081,1.75785791755237,4.67,5.8,"SC01","1","210638",2010,9.2
38,1.75785791755237,1.80828877117927,5.8,6.1,"SC01","1","210638",2011,10.1
39,1.80828877117927,2.00012773496011,6.1,7.39,"SC01","1","210638",2012,9.9
40,2.00012773496011,1.96711235670592,7.39,7.15,"SC01","1","210638",2013,10.2
41,1.96711235670592,2.05923883436232,7.15,7.84,"SC01","1","210638",2014,10.5
42,2.05923883436232,2.05923883436232,7.84,7.84,"SC01","1","210638",2015,10.4
43,2.05923883436232,1.97408102602201,7.84,7.2,"SC01","1","210638",2016,10.4
30,NA,1.65822807660353,NA,5.25,"SC01","1","210669",2003,7
31,1.65822807660353,1.74396880539171,5.25,5.72,"SC01","1","210669",2004,7.1
32,1.74396880539171,1.7404661748405,5.72,5.7,"SC01","1","210669",2005,7.5
33,1.7404661748405,1.77495235091167,5.7,5.9,"SC01","1","210669",2006,7.3
34,1.77495235091167,1.63899671467564,5.9,5.15,"SC01","1","210669",2007,7.8
35,1.63899671467564,1.82454929205105,5.15,6.2,"SC01","1","210669",2008,8.2
36,1.82454929205105,1.84054963339749,6.2,6.3,"SC01","1","210669",2009,8.4
37,1.84054963339749,1.64865862558738,6.3,5.2,"SC01","1","210669",2010,8.8
38,1.64865862558738,1.68639895357023,5.2,5.4,"SC01","1","210669",2011,9.4
39,1.68639895357023,1.7227665977411,5.4,5.6,"SC01","1","210669",2012,9.1
40,1.7227665977411,1.83736998048011,5.6,6.28,"SC01","1","210669",2013,9.5
41,1.83736998048011,1.80005827204275,6.28,6.05,"SC01","1","210669",2014,9.6
42,1.80005827204275,1.77495235091167,6.05,5.9,"SC01","1","210669",2015,10.5
43,1.77495235091167,1.41098697371026,5.9,4.1,"SC01","1","210669",2016,9.7
30,NA,1.57897870494939,NA,4.85,"SC01","1","210706",2003,3.27
31,1.57897870494939,1.58514521986506,4.85,4.88,"SC01","1","210706",2004,3.3
32,1.58514521986506,0.62057648772511,4.88,1.86,"SC01","1","210706",2005,3.3
33,0.62057648772511,NA,1.86,NA,"SC01","0","210706",2006,NA
30,NA,1.22377543162212,NA,3.4,"SC01","1","210720",2003,3
