UID,PlotCode,PlotName,Tag,h1,Sup,Rep,FruitsPerBranch,Branches,TotalFruitset,Census
222716,SC09,MAL,M125,4.6,1,0,,,0,2017
222174,SC09,MAL,43,5.94,1,1,7,6,42,2017
222037,SC09,MAL,22,5.4,1,0,,,0,2017
224550,SC10,HIL,F25,5.18,1,0,,,0,2017
224505,SC10,HIL,R152,4.25,1,0,,,0,2017
224420,SC10,HIL,3,3.3,1,0,,,0,2017
224383,SC10,HIL,6,4.56,1,1,5,5,25,2017
224369,SC10,HIL,E93,3.15,1,0,,,0,2017
224260,SC10,HIL,R153,2.9,1,0,,,0,2017
224239,SC10,HIL,R155,2.6,1,0,,,0,2017
224611,SC10,HIL,J239,4.93,1,0,,,0,2017
224581,SC10,HIL,U5,3.15,1,0,,,0,2017
224574,SC10,HIL,J241,4,1,0,,,0,2017
225465,SC12,FID,121,6.52,1,0,,,0,2017
225397,SC12,FID,116,6.75,1,0,,,0,2017
225137,SC12,FID,100,6.82,1,0,,,0,2017
226301,SC12,FID,180,6.5,1,0,,,0,2017
226189,SC12,FID,173,5.1,1,1,5,4,20,2017
227179,SC12,FID,215,7.3,1,1,21,7,147,2017
227124,SC12,FID,212,4.85,1,0,,,0,2017
227100,SC12,FID,210,4.65,1,0,,,0,2017
226707,SC12,FID,201,5.9,1,0,,,0,2017
227629,SC13,ESS,743,7.2,1,0,,,0,2017
228084,SC13,ESS,761,7.9,1,1,33,6,198,2017
228114,SC13,ESS,764,7.77,1,1,71,4,284,2017
228183,SC13,ESS,774,8,1,0,,,0,2017
228275,SC13,ESS,775,7.08,1,1,7,4,28,2017
228367,SC13,ESS,783,4.6,1,0,,,0,2017
228404,SC13,ESS,787,7.02,1,0,,,0,2017
228572,SC13,ESS,798,7.14,1,0,,,0,2017
228992,SC13,ESS,804,4.1,1,1,21,6,126,2017
228732,SC13,ESS,807,5.62,1,1,98,4,392,2017
228756,SC13,ESS,810,2.8,1,0,,,0,2017
229050,SC13,ESS,825,2.09,1,0,,,0,2017
229111,SC13,ESS,830,6.29,1,0,,,0,2017
229128,SC13,ESS,831,5.9,1,0,,,0,2017
229180,SC13,ESS,835,6.85,1,0,,,0,2017
229296,SC13,ESS,841,2.13,1,0,,,0,2017
229326,SC13,ESS,842,5.8,1,0,,,0,2017
229418,SC13,ESS,846,6.1,1,1,3,5,15,2017
229654,SC14,TOB,347,4.67,1,0,,,0,2017
229661,SC14,TOB,349,4.85,1,0,,,0,2017
230148,SC14,TOB,392,4.61,1,1,20,1,20,2017
230162,SC14,TOB,394,4.92,1,1,44,3,132,2017
230230,SC14,TOB,400,4.37,1,0,,,0,2017
230254,SC14,TOB,402,3.9,1,0,,,0,2017
230261,SC14,TOB,404,3.6,1,0,,,0,2017
230544,SC14,TOB,428,4.7,1,0,,,0,2017
230612,SC14,TOB,432,5.6,1,0,,,0,2017
230674,SC14,TOB,434,4.06,1,0,,,0,2017
230599,SC14,TOB,443,3.94,1,0,,,0,2017
230742,SC14,TOB,441,3.9,1,0,,,0,2017
230803,SC14,TOB,448,5,1,0,,,0,2017
230827,SC14,TOB,449,4.4,1,0,,,0,2017
230834,SC14,TOB,450,4.8,1,0,,,0,2017
230896,SC14,TOB,459,3.89,1,0,,,0,2017
230940,SC14,TOB,455,5,1,0,,,0,2017
230957,SC14,TOB,463,3.7,1,0,,,0,2017
230995,SC14,TOB,454,5,1,1,2,4,8,2017
231152,SC15,DIA,43,5.72,1,1,4,5,20,2017
231688,SC15,DIA,94,5.79,1,1,19,4,76,2017
232227,SC15,DIA,146,4.72,1,1,29,5,145,2017
232395,SC15,DIA,X012,5.15,1,1,4,6,24,2017
232425,SC15,DIA,180,5.15,1,0,,,0,2017
