UID, Año,Plot,Einicial,Ecenso,Trans,Cuadro,Sample,Categoría,Etiqueta,Especie,X,Y,Supv,Altura,DB1,DB2,DB3,DB4,DB5,DB6,DB7,DB8,DB9,DB10,DB11,DB12,DB13,DB14,DB15,DB16,DB17,DB18,DB19,DB20,DB21,DB22,DB23,DB24,DB min,DB max,AB soto (m2/1ha),AB soto (cm2/1ha),AB soto (cm2),Sample (m2),Densidad soto sitio (32m2),Regen,LF,Observaciones
SS02-433310,2016,2,23,35,3,6,32,<1,137,Mimosa eurycarpa,4.21,14.41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
SS02-433693,2005,2,23,25,3,6,32,<1,212,Mimosa eurycarpa,3.21,14.2,1,0.5,0.31,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.31,0.002358648859453,23.5864885945296,0.075476763502495,32,1,S,T,
SS02-433693,2006,2,23,26,3,6,32,<1,212,Mimosa eurycarpa,3.21,14.2,1,0.54,0.393,,,,,,,,,,,,,,,,,,,,,,,,0.393,0.393,0.00379074877933,37.9074877933039,0.121303960938572,32,1,S,T,
SS02-433693,2007,2,23,27,3,6,32,<1,212,Mimosa eurycarpa,3.21,14.2,1,0.91,0.4,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,0.003926990816987,39.2699081698724,0.125663706143592,32,1,S,T,
SS02-433693,2008,2,23,28,3,6,32,<1,212,Mimosa eurycarpa,3.21,14.2,1,0.93,0.74,,,,,,,,,,,,,,,,,,,,,,,,0.74,0.74,0.013440126071139,134.401260711388,0.430084034276443,32,1,S,T,
SS02-433693,2009,2,23,29,3,6,32,<1,212,Mimosa eurycarpa,3.21,14.2,1,1.27,0.74,,,,,,,,,,,,,,,,,,,,,,,,0.74,0.74,0.013440126071139,134.401260711388,0.430084034276443,32,1,S,T,
SS02-433693,2010,2,23,30,3,6,32,<1,212,Mimosa eurycarpa,3.21,14.2,1,1.29,0.74,,,,,,,,,,,,,,,,,,,,,,,,0.74,0.74,0.013440126071139,134.401260711388,0.430084034276443,32,1,S,T,
SS02-433693,2011,2,23,31,3,6,32,<1,212,Mimosa eurycarpa,3.21,14.2,1,1.25,0.74,,,,,,,,,,,,,,,,,,,,,,,,0.74,0.74,0.013440126071139,134.401260711388,0.430084034276443,32,1,S,T,
SS02-433693,2012,2,23,32,3,6,32,<1,212,Mimosa eurycarpa,3.21,14.2,1,1,0.74,,,,,,,,,,,,,,,,,,,,,,,,0.74,0.74,0.013440126071139,134.401260711388,0.430084034276443,32,1,S,T,muerta de la punta. Casi sin hojas
SS02-433693,2013,2,23,33,3,6,32,<1,212,Mimosa eurycarpa,3.21,14.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,T,
