"ln.h1","ln.h2","sup","Age","plot","id","Census","h1","h2"
0.548121408509688,0.943905898907128,1,7,14,"p14i241",2009,1.73,2.57
0.943905898907128,NA,0,8,14,"p14i241",2010,2.57,NA
NA,-0.0618754037180875,1,1,14,"p14i242",2003,NA,0.94
-0.0618754037180875,0.470003629245736,1,2,14,"p14i242",2004,0.94,1.6
0.470003629245736,0.559615787935423,1,3,14,"p14i242",2005,1.6,1.75
0.559615787935423,0.615185639090233,1,4,14,"p14i242",2006,1.75,1.85
0.615185639090233,0.65232518603969,1,5,14,"p14i242",2007,1.85,1.92
0.65232518603969,0.65232518603969,1,6,14,"p14i242",2008,1.92,1.92
0.65232518603969,0.76080582903376,1,7,14,"p14i242",2009,1.92,2.14
0.76080582903376,0.470003629245736,1,8,14,"p14i242",2010,2.14,1.6
0.470003629245736,NA,0,9,14,"p14i242",2011,1.6,NA
NA,-0.139262067333508,1,1,14,"p14i243",2003,NA,0.87
-0.139262067333508,0.548121408509688,1,2,14,"p14i243",2004,0.87,1.73
0.548121408509688,0.438254930931155,1,3,14,"p14i243",2005,1.73,1.55
0.438254930931155,0.457424847038875,1,4,14,"p14i243",2006,1.55,1.58
0.457424847038875,0.378436435720245,1,5,14,"p14i243",2007,1.58,1.46
0.378436435720245,0.378436435720245,1,6,14,"p14i243",2008,1.46,1.46
0.378436435720245,NA,0,7,14,"p14i243",2009,1.46,NA
NA,0.0676586484738149,1,1,14,"p14i244",2003,NA,1.07
0.0676586484738149,0.576613364303994,1,2,14,"p14i244",2004,1.07,1.78
0.576613364303994,NA,0,3,14,"p14i244",NA,1.78,NA
NA,-0.0202027073175195,1,1,14,"p14i247",2003,NA,0.98
-0.0202027073175195,0.587786664902119,1,2,14,"p14i247",2004,0.98,1.8
0.587786664902119,NA,0,3,14,"p14i247",NA,1.8,NA
NA,0.215111379616945,1,1,14,"p14i254",2003,NA,1.24
0.215111379616945,0.482426149244293,1,2,14,"p14i254",2004,1.24,1.62
0.482426149244293,0.741937344729377,1,3,14,"p14i254",2005,1.62,2.1
0.741937344729377,0.76080582903376,1,4,14,"p14i254",2006,2.1,2.14
0.76080582903376,0.883767540168595,1,5,14,"p14i254",2007,2.14,2.42
0.883767540168595,0.883767540168595,1,6,14,"p14i254",2008,2.42,2.42
0.883767540168595,1.1314021114911,1,7,14,"p14i254",2009,2.42,3.1
1.1314021114911,1.16315080980568,1,8,14,"p14i254",2010,3.1,3.2
1.16315080980568,NA,1,9,14,"p14i254",2011,3.2,NA
NA,1.26694760348732,1,10,14,"p14i254",2012,NA,3.55
1.26694760348732,1.31908561142644,1,11,14,"p14i254",2013,3.55,3.74
1.31908561142644,NA,1,12,14,"p14i254",2014,3.74,NA
NA,NA,1,12,14,"p14i254",2015,NA,NA
NA,NA,1,14,14,"p14i254",2016,NA,NA
NA,NA,0,15,14,"p14i254",NA,NA,NA
NA,-0.415515443961666,1,1,14,"p14i265",2003,NA,0.66
-0.415515443961666,0.22314355131421,1,2,14,"p14i265",2004,0.66,1.25
0.22314355131421,0.262364264467491,1,3,14,"p14i265",2005,1.25,1.3
0.262364264467491,0.405465108108164,1,4,14,"p14i265",2006,1.3,1.5
0.405465108108164,0.385262400790645,1,5,14,"p14i265",2007,1.5,1.47
0.385262400790645,0.385262400790645,1,6,14,"p14i265",2008,1.47,1.47
0.385262400790645,NA,0,7,14,"p14i265",2009,1.47,NA
NA,-0.0512932943875506,1,1,14,"p14i267",2003,NA,0.95
-0.0512932943875506,0.631271776841858,1,2,14,"p14i267",2004,0.95,1.88
0.631271776841858,0.641853886172395,1,3,14,"p14i267",2005,1.88,1.9
0.641853886172395,0.993251773010283,1,4,14,"p14i267",2006,1.9,2.7
0.993251773010283,0.916290731874155,1,5,14,"p14i267",2007,2.7,2.5
0.916290731874155,0.916290731874155,1,6,14,"p14i267",2008,2.5,2.5
0.916290731874155,0.993251773010283,1,7,14,"p14i267",2009,2.5,2.7
0.993251773010283,1.28647402583768,1,8,14,"p14i267",2010,2.7,3.62
1.28647402583768,1.34807314829969,1,9,14,"p14i267",2011,3.62,3.85
1.34807314829969,1.43508452528932,1,10,14,"p14i267",2012,3.85,4.2
1.43508452528932,1.51732262352629,1,11,14,"p14i267",2013,4.2,4.56
1.51732262352629,NA,1,12,14,"p14i267",2014,4.56,NA
NA,NA,1,12,14,"p14i267",2015,NA,NA
NA,NA,1,14,14,"p14i267",2016,NA,NA
NA,NA,0,15,14,"p14i267",NA,NA,NA
NA,-0.0512932943875506,1,1,14,"p14i269",2003,NA,0.95
-0.0512932943875506,0.357674444271816,1,2,14,"p14i269",2004,0.95,1.43
0.357674444271816,0.500775287912489,1,3,14,"p14i269",2005,1.43,1.65
0.500775287912489,0.657520002916794,1,4,14,"p14i269",2006,1.65,1.93
0.657520002916794,0.741937344729377,1,5,14,"p14i269",2007,1.93,2.1
0.741937344729377,0.741937344729377,1,6,14,"p14i269",2008,2.1,2.1
0.741937344729377,1.18172719537862,1,7,14,"p14i269",2009,2.1,3.26
1.18172719537862,1.31908561142644,1,8,14,"p14i269",2010,3.26,3.74
1.31908561142644,1.33500106673234,1,9,14,"p14i269",2011,3.74,3.8
1.33500106673234,1.38629436111989,1,10,14,"p14i269",2012,3.8,4
1.38629436111989,1.39376637595859,1,11,14,"p14i269",2013,4,4.03
1.39376637595859,NA,1,12,14,"p14i269",2014,4.03,NA
NA,NA,1,13,14,"p14i269",2015,NA,NA
NA,NA,1,14,14,"p14i269",2016,NA,NA
NA,NA,0,15,14,"p14i269",NA,NA,NA
NA,-1.10866262452161,1,1,14,"p14i280",2003,NA,0.33
-1.10866262452161,-0.755022584278033,1,2,14,"p14i280",2004,0.33,0.47
-0.755022584278033,-0.916290731874155,1,3,14,"p14i280",2005,0.47,0.4
-0.916290731874155,-0.798507696217772,1,4,14,"p14i280",2006,0.4,0.45
-0.798507696217772,-0.867500567704723,1,5,14,"p14i280",2007,0.45,0.42
-0.867500567704723,-0.867500567704723,1,6,14,"p14i280",2008,0.42,0.42
-0.867500567704723,-0.798507696217772,1,7,14,"p14i280",2009,0.42,0.45
-0.798507696217772,NA,0,8,14,"p14i280",2010,0.45,NA
NA,-1.13943428318836,1,1,14,"p14i282",2003,NA,0.32
-1.13943428318836,-0.616186139423817,1,2,14,"p14i282",2004,0.32,0.54
-0.616186139423817,-0.693147180559945,1,3,14,"p14i282",2005,0.54,0.5
-0.693147180559945,-0.653926467406664,1,4,14,"p14i282",2006,0.5,0.52
-0.653926467406664,NA,0,5,14,"p14i282",2007,0.52,NA
