RUID,UID,Census,Set,SubSet,PlotNum,PlotCode,AbYr,PlotAge,Tra,Qua,Crit,Sample,Tag,Species,TaxRL,PosX,PosY,Sup,CAR,RecrYr,DeadYr,ExcYr,RincYr,NfouYr,Height,CovD1,CovD2,DBH01,DBH02,DBH03,DBH04,DBH05,DBH06,DBH07,DBH08,DBH09,DBH10,DBH11,DBH12,DBH13,DBH14,DBH15,DBH16,DBH17,DBH18,DBH19,DBH20,DBH21,DBH22,DBH23,DBH24,DBH25,DBH26,DBH27,DBH28,DBH29,DBH30,minDBH,maxDBH,Basal.cm2/plot,Basal.m2/ha,Cob.m2/plot,Cob.m2/ha,Dens.ha,Rec.ha,Mu.ha,Stems,Observaciones anuales
21771206,217712,2006,MatCan,NA,SC05,SEL,Mature,#VALUE!,3,1,C,500,186,Mimosa eurycarpa,S,1.46,4.99,1,,,2016,,,,4.8,,,10.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.35,10.35,84.1338147585431,0.168267629517086,0,0,20,0,0,1,
21760606,217606,2006,MatCan,NA,SC05,SEL,Mature,#VALUE!,3,3,B,375,177,Mimosa eurycarpa,S,3.45,13.56,1,,,2013,,,,5.32,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,4.6,16.61902513749,0.04431740036664,0,0,26.6666666666667,0,0,1,
21759006,217590,2006,MatCan,NA,SC05,SEL,Mature,#VALUE!,3,3,B,375,381,Mimosa eurycarpa,S,0.3,13.6,1,,2005,2016,2015,,,4.24,2.2,2.6,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,2.7,5.7255526111674,0.0152681402964464,4.4924774946334,119.799399856891,26.6666666666667,0,0,1,
21842906,218429,2006,MatCan,NA,SC05,SEL,Mature,#VALUE!,4,1,C,500,285,Mimosa eurycarpa,S,4.63,1.3,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,muerta
21811506,218115,2006,MatCan,NA,SC05,SEL,Mature,#VALUE!,4,3,B,500,244,Mimosa eurycarpa,S,0.85,11.65,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,muerta en pie
21795806,217958,2006,MatCan,NA,SC05,SEL,Mature,#VALUE!,4,4,A,500,241,Mimosa eurycarpa,S,2.2,17.82,1,,,2016,,,,5.47,,,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,9.4,69.3977817177985,0.138795563435597,0,0,20,0,0,1,
21789707,217897,2007,MatCan,NA,SC05,SEL,Mature,#VALUE!,3,1,C,500,200,Mimosa eurycarpa,S,0.26,1.8,,,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,
21771207,217712,2007,MatCan,NA,SC05,SEL,Mature,#VALUE!,3,1,C,500,186,Mimosa eurycarpa,S,1.46,4.99,1,,,2016,,,,4.85,4.62,4.7,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,11.3,100.28749148422,0.20057498296844,17.0541357200122,341.082714400244,20,0,0,1,
21760607,217606,2007,MatCan,NA,SC05,SEL,Mature,#VALUE!,3,3,B,375,177,Mimosa eurycarpa,S,3.45,13.56,1,,,2013,,,,4.98,2.5,3.97,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,4.8,18.0955736846772,0.0482548631591392,7.79507677171968,207.868713912525,26.6666666666667,0,0,1,
21759007,217590,2007,MatCan,NA,SC05,SEL,Mature,#VALUE!,3,3,B,375,381,Mimosa eurycarpa,S,0.3,13.6,1,,2005,2016,2015,,,4.35,3.58,3.6,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,3.1,7.54767635024948,0.0201271369339986,10.1222115298663,269.925640796435,26.6666666666667,0,0,1,
21842907,218429,2007,MatCan,NA,SC05,SEL,Mature,#VALUE!,4,1,C,500,285,Mimosa eurycarpa,S,4.63,1.3,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
21811507,218115,2007,MatCan,NA,SC05,SEL,Mature,#VALUE!,4,3,B,500,244,Mimosa eurycarpa,S,0.85,11.65,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
21795807,217958,2007,MatCan,NA,SC05,SEL,Mature,#VALUE!,4,4,A,500,241,Mimosa eurycarpa,S,2.2,17.82,1,,,2016,,,,5.35,4.05,2.63,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,10.4,84.948665353068,0.169897330706136,8.36566853742792,167.313370748558,20,0,0,1,
12226208,122262,2008,MatCan,Phy,MP02,ISA,Mature,#VALUE!,5,2,B,500,1142,Mimosa eurycarpa,S,1.92,6.2,1,,,2016,,,,5.88,5.6,3.5,11.77743825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.77743825,11.77743825,108.941049079193,0.217882098158386,15.39380400259,307.8760800518,20,0,0,1,
13312208,133122,2008,MatCan,Phy,MP04,LE1,Mature,#VALUE!,3,1,B,375,Y424,Mimosa eurycarpa,S,3.88,2.53,1,,,,,,,5.12,1.5,2.89,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,4.1,13.2025431267111,0.0352067816712296,3.40470103832794,90.792027688745,26.6666666666667,0,0,1,Incluir desde 2008.
21789708,217897,2008,MatCan,NA,SC05,SEL,Mature,#VALUE!,3,1,C,500,200,Mimosa eurycarpa,S,0.26,1.8,,,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
21771208,217712,2008,MatCan,NA,SC05,SEL,Mature,#VALUE!,3,1,C,500,186,Mimosa eurycarpa,S,1.46,4.99,1,,,2016,,,,5.6,4.6,4.5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,95.0331777710912,0.190066355542182,16.2577419823272,325.154839646544,20,0,0,1,
21760608,217606,2008,MatCan,NA,SC05,SEL,Mature,#VALUE!,3,3,B,500,177,Mimosa eurycarpa,S,3.45,13.56,1,,,2013,,,,5.05,2.8,3.4,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,5.2,21.237166338267,0.042474332676534,7.47699051554371,149.539810310874,20,0,0,1,
21759008,217590,2008,MatCan,NA,SC05,SEL,Mature,#VALUE!,3,3,B,375,381,Mimosa eurycarpa,S,0.3,13.6,1,,2005,2016,2015,,,4.8,2.3,2.1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,7.06858347057703,0.0188495559215388,3.79347312920967,101.159283445591,26.6666666666667,0,0,1,
21842908,218429,2008,MatCan,NA,SC05,SEL,Mature,#VALUE!,4,1,C,500,285,Mimosa eurycarpa,S,4.63,1.3,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
21811508,218115,2008,MatCan,NA,SC05,SEL,Mature,#VALUE!,4,3,B,500,244,Mimosa eurycarpa,S,0.85,11.65,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
21795808,217958,2008,MatCan,NA,SC05,SEL,Mature,#VALUE!,4,4,A,500,241,Mimosa eurycarpa,S,2.2,17.82,1,,,2016,,,,5.75,3.8,4.3,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,10.5,86.5901475145687,0.173180295029137,12.8334059899143,256.668119798286,20,0,0,1,
12226209,122262,2009,MatCan,Phy,MP02,ISA,Mature,#VALUE!,5,2,B,500,1142,Mimosa eurycarpa,S,1.92,6.2,1,,,2016,,,,5.88,3.5,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,78.5398163397448,0.15707963267949,16.4933614313464,329.867228626928,20,0,0,1,
13312209,133122,2009,MatCan,Phy,MP04,LE1,Mature,#VALUE!,3,1,B,375,Y424,Mimosa eurycarpa,S,3.88,2.53,1,,,,,,,5.12,1.5,2.89,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,4.1,13.2025431267111,0.0352067816712296,3.40470103832794,90.792027688745,26.6666666666667,0,0,1,Incluir desde 2008.
21789709,217897,2009,MatCan,NA,SC05,SEL,Mature,#VALUE!,3,1,C,500,200,Mimosa eurycarpa,S,0.26,1.8,,,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
21771209,217712,2009,MatCan,NA,SC05,SEL,Mature,#VALUE!,3,1,C,500,186,Mimosa eurycarpa,S,1.46,4.99,1,,,2016,,,,4.8,4.95,5.2,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,11.2,98.5203456165759,0.197040691233152,20.2161487258503,404.322974517006,20,0,0,1,
21760609,217606,2009,MatCan,NA,SC05,SEL,Mature,#VALUE!,3,3,B,500,177,Mimosa eurycarpa,S,3.45,13.56,1,,,2013,,,,4.56,4.4,3.5,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,5.3,22.0618344098343,0.0441236688196686,12.0951317163207,241.902634326414,20,0,0,1,
21759009,217590,2009,MatCan,NA,SC05,SEL,Mature,#VALUE!,3,3,B,375,381,Mimosa eurycarpa,S,0.3,13.6,1,,2005,2016,2015,,,4.65,2.9,2.85,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,2.9,6.60519855417254,0.0176138628111268,6.49131582047991,173.101755212798,26.6666666666667,0,0,1,
21842909,218429,2009,MatCan,NA,SC05,SEL,Mature,#VALUE!,4,1,C,500,285,Mimosa eurycarpa,S,4.63,1.3,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
21811509,218115,2009,MatCan,NA,SC05,SEL,Mature,#VALUE!,4,3,B,500,244,Mimosa eurycarpa,S,0.85,11.65,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
21795809,217958,2009,MatCan,NA,SC05,SEL,Mature,#VALUE!,4,4,A,500,241,Mimosa eurycarpa,S,2.2,17.82,1,,,2016,,,,5.8,3.28,4.28,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,95.0331777710912,0.190066355542182,11.0257335770387,220.514671540775,20,0,0,1,
12226210,122262,2010,MatCan,Phy,MP02,ISA,Mature,#VALUE!,5,2,B,500,1142,Mimosa eurycarpa,S,1.92,6.2,1,,,2016,,,,5.9,3.5,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,78.5398163397448,0.15707963267949,16.4933614313464,329.867228626928,20,0,0,1,
13312210,133122,2010,MatCan,Phy,MP04,LE1,Mature,#VALUE!,3,1,B,375,Y424,Mimosa eurycarpa,S,3.88,2.53,1,,,,,,,5.12,1.5,2.89,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,4.1,13.2025431267111,0.0352067816712296,3.40470103832794,90.792027688745,26.6666666666667,0,0,1,Incluir desde 2008.
21789710,217897,2010,MatCan,NA,SC05,SEL,Mature,#VALUE!,3,1,C,500,200,Mimosa eurycarpa,S,0.26,1.8,,,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
21771210,217712,2010,MatCan,NA,SC05,SEL,Mature,#VALUE!,3,1,C,500,186,Mimosa eurycarpa,S,1.46,4.99,1,,,2016,,,,5,,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,9.9,76.9768739945839,0.153953747989168,0,0,20,0,0,1,inclinada
